Domain Code,Domain,Area Code (FAO),Area,Indicator Code,Indicator,Sex Code,Sex,Year Code,Year,Source Code,Source,Unit,Value,Flag,Flag Description,Note
"OE","Employment Indicators","16","Bangladesh","21103","Employment-to-population ratio by age, 15 to 24, rural areas","21","Male","2006","2006","3023","Labour force survey","%","68.29","X","International reliable sources","Break in series Break in series: Methodology revised Repository: ILO-STATISTICS - Micro data processing"
"OE","Employment Indicators","16","Bangladesh","21104","Employment-to-population ratio by age, 25 to 54, rural areas","21","Male","2006","2006","3023","Labour force survey","%","96.06","X","International reliable sources","Break in series Break in series: Methodology revised Repository: ILO-STATISTICS - Micro data processing"
"OE","Employment Indicators","16","Bangladesh","21105","Employment-to-population ratio by age, 55 to 64, rural areas","21","Male","2006","2006","3023","Labour force survey","%","89.62","X","International reliable sources","Break in series Break in series: Methodology revised Repository: ILO-STATISTICS - Micro data processing"
"OE","Employment Indicators","16","Bangladesh","21101","Employment-to-population ratio by age, 65+, rural areas","21","Male","2006","2006","3023","Labour force survey","%","60.12","X","International reliable sources","Break in series Break in series: Methodology revised Repository: ILO-STATISTICS - Micro data processing"
"OE","Employment Indicators","16","Bangladesh","21156","Share of employment in agriculture, forestry and fishing in total employment - ILO Modelled Estimates","21","Male","2007","2007","3043","ILO - ILO Modelled Estimates","%","41.7","X","International reliable sources",""
"OE","Employment Indicators","16","Bangladesh","21156","Share of employment in agriculture, forestry and fishing in total employment - ILO Modelled Estimates","21","Male","2008","2008","3043","ILO - ILO Modelled Estimates","%","41.5","X","International reliable sources",""
"OE","Employment Indicators","16","Bangladesh","21156","Share of employment in agriculture, forestry and fishing in total employment - ILO Modelled Estimates","21","Male","2009","2009","3043","ILO - ILO Modelled Estimates","%","41.4","X","International reliable sources",""
"OE","Employment Indicators","16","Bangladesh","21155","Share of employment in agriculture, forestry and fishing in total employment","21","Male","2010","2010","3023","Labour force survey","%","39.8","X","International reliable sources","Break in series: Methodology revised, Repository: ILO-STATISTICS - Micro data processing"
"OE","Employment Indicators","16","Bangladesh","21126","Share of employment in crop and animal production, hunting and related service activities","21","Male","2010","2010","3023","Labour force survey","%","95.702057","X","International reliable sources","Break in series Break in series: Methodology revised Repository: ILO-STATISTICS - Micro data processing"
"OE","Employment Indicators","16","Bangladesh","21114","Share of employment in forestry and logging","21","Male","2010","2010","3023","Labour force survey","%","0.045443","X","International reliable sources","Break in series Break in series: Methodology revised Repository: ILO-STATISTICS - Micro data processing"
"OE","Employment Indicators","16","Bangladesh","21118","Share of employment in fishing and aquaculture","21","Male","2010","2010","3023","Labour force survey","%","4.252501","X","International reliable sources","Break in series Break in series: Methodology revised Repository: ILO-STATISTICS - Micro data processing"
"OE","Employment Indicators","16","Bangladesh","21152","Share of employees in agriculture, forestry and fishing in total employees","21","Male","2010","2010","3023","Labour force survey","%","35.650036","X","International reliable sources","Break in series Break in series: Methodology revised Repository: ILO-STATISTICS - Micro data processing"
"OE","Employment Indicators","16","Bangladesh","21156","Share of employment in agriculture, forestry and fishing in total employment - ILO Modelled Estimates","21","Male","2010","2010","3043","ILO - ILO Modelled Estimates","%","41","X","International reliable sources",""
"OE","Employment Indicators","16","Bangladesh","21069","Employment-to-population ratio by age, total (15+), rural areas","21","Male","2010","2010","3023","Labour force survey","%","80.34","X","International reliable sources","Break in series Break in series: Methodology revised Repository: ILO-STATISTICS - Micro data processing"
"OE","Employment Indicators","16","Bangladesh","21103","Employment-to-population ratio by age, 15 to 24, rural areas","21","Male","2010","2010","3023","Labour force survey","%","56.77","X","International reliable sources","Break in series Break in series: Methodology revised Repository: ILO-STATISTICS - Micro data processing"
"OE","Employment Indicators","16","Bangladesh","21104","Employment-to-population ratio by age, 25 to 54, rural areas","21","Male","2010","2010","3023","Labour force survey","%","94.08","X","International reliable sources","Break in series Break in series: Methodology revised Repository: ILO-STATISTICS - Micro data processing"
"OE","Employment Indicators","16","Bangladesh","21105","Employment-to-population ratio by age, 55 to 64, rural areas","21","Male","2010","2010","3023","Labour force survey","%","84.45","X","International reliable sources","Break in series Break in series: Methodology revised Repository: ILO-STATISTICS - Micro data processing"
"OE","Employment Indicators","16","Bangladesh","21101","Employment-to-population ratio by age, 65+, rural areas","21","Male","2010","2010","3023","Labour force survey","%","60.31","X","International reliable sources","Break in series Break in series: Methodology revised Repository: ILO-STATISTICS - Micro data processing"
"OE","Employment Indicators","16","Bangladesh","21156","Share of employment in agriculture, forestry and fishing in total employment - ILO Modelled Estimates","21","Male","2011","2011","3043","ILO - ILO Modelled Estimates","%","40","X","International reliable sources",""
"OE","Employment Indicators","16","Bangladesh","21156","Share of employment in agriculture, forestry and fishing in total employment - ILO Modelled Estimates","21","Male","2012","2012","3043","ILO - ILO Modelled Estimates","%","38.9","X","International reliable sources",""
"OE","Employment Indicators","16","Bangladesh","21155","Share of employment in agriculture, forestry and fishing in total employment","21","Male","2013","2013","3023","Labour force survey","%","41.7","X","International reliable sources","Break in series: Methodology revised, Repository: ILO-STATISTICS - Micro data processing"
"OE","Employment Indicators","16","Bangladesh","21126","Share of employment in crop and animal production, hunting and related service activities","21","Male","2013","2013","3023","Labour force survey","%","94.519379","X","International reliable sources","Break in series Break in series: Methodology revised Repository: ILO-STATISTICS - Micro data processing"
"OE","Employment Indicators","16","Bangladesh","21114","Share of employment in forestry and logging","21","Male","2013","2013","3023","Labour force survey","%","0.431357","X","International reliable sources","Break in series Break in series: Methodology revised Repository: ILO-STATISTICS - Micro data processing"
"OE","Employment Indicators","16","Bangladesh","21118","Share of employment in fishing and aquaculture","21","Male","2013","2013","3023","Labour force survey","%","5.049265","X","International reliable sources","Break in series Break in series: Methodology revised Repository: ILO-STATISTICS - Micro data processing"
"OE","Employment Indicators","16","Bangladesh","21152","Share of employees in agriculture, forestry and fishing in total employees","21","Male","2013","2013","3023","Labour force survey","%","29.203472","X","International reliable sources","Break in series Break in series: Methodology revised Repository: ILO-STATISTICS - Micro data processing"
"OE","Employment Indicators","16","Bangladesh","21156","Share of employment in agriculture, forestry and fishing in total employment - ILO Modelled Estimates","21","Male","2013","2013","3043","ILO - ILO Modelled Estimates","%","37.9","X","International reliable sources",""
"OE","Employment Indicators","16","Bangladesh","21069","Employment-to-population ratio by age, total (15+), rural areas","21","Male","2013","2013","3023","Labour force survey","%","79.37","X","International reliable sources","Break in series Break in series: Methodology revised Repository: ILO-STATISTICS - Micro data processing"
"OE","Employment Indicators","16","Bangladesh","21103","Employment-to-population ratio by age, 15 to 24, rural areas","21","Male","2013","2013","3023","Labour force survey","%","49.16","X","International reliable sources","Break in series Break in series: Methodology revised Repository: ILO-STATISTICS - Micro data processing"
"OE","Employment Indicators","16","Bangladesh","21104","Employment-to-population ratio by age, 25 to 54, rural areas","21","Male","2013","2013","3023","Labour force survey","%","97.45","X","International reliable sources","Break in series Break in series: Methodology revised Repository: ILO-STATISTICS - Micro data processing"
"OE","Employment Indicators","16","Bangladesh","21105","Employment-to-population ratio by age, 55 to 64, rural areas","21","Male","2013","2013","3023","Labour force survey","%","90.14","X","International reliable sources","Break in series Break in series: Methodology revised Repository: ILO-STATISTICS - Micro data processing"
"OE","Employment Indicators","16","Bangladesh","21101","Employment-to-population ratio by age, 65+, rural areas","21","Male","2013","2013","3023","Labour force survey","%","57.39","X","International reliable sources","Break in series Break in series: Methodology revised Repository: ILO-STATISTICS - Micro data processing"
"OE","Employment Indicators","16","Bangladesh","21156","Share of employment in agriculture, forestry and fishing in total employment - ILO Modelled Estimates","21","Male","2014","2014","3043","ILO - ILO Modelled Estimates","%","36.8","X","International reliable sources",""
"OE","Employment Indicators","16","Bangladesh","21156","Share of employment in agriculture, forestry and fishing in total employment - ILO Modelled Estimates","21","Male","2015","2015","3043","ILO - ILO Modelled Estimates","%","35.7","X","International reliable sources",""
"OE","Employment Indicators","16","Bangladesh","21155","Share of employment in agriculture, forestry and fishing in total employment","21","Male","2016","2016","3023","Labour force survey","%","34","X","International reliable sources","Population coverage: Excluding both institutional population and armed forces and/or conscripts"
"OE","Employment Indicators","16","Bangladesh","21152","Share of employees in agriculture, forestry and fishing in total employees","21","Male","2016","2016","3023","Labour force survey","%","24.720249","X","International reliable sources","Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers Population coverage: Excluding both institutional population and armed forces and/or conscripts"
"OE","Employment Indicators","16","Bangladesh","21156","Share of employment in agriculture, forestry and fishing in total employment - ILO Modelled Estimates","21","Male","2016","2016","3043","ILO - ILO Modelled Estimates","%","34.7","X","International reliable sources",""
"OE","Employment Indicators","16","Bangladesh","21069","Employment-to-population ratio by age, total (15+), rural areas","21","Male","2016","2016","3023","Labour force survey","%","79.51","X","International reliable sources","Criteria used to define rural/urban areas: Definition based on administrative area Population coverage: Excluding both institutional population and armed forces and/or conscripts"
"OE","Employment Indicators","16","Bangladesh","21103","Employment-to-population ratio by age, 15 to 24, rural areas","21","Male","2016","2016","3023","Labour force survey","%","53.59","X","International reliable sources","Criteria used to define rural/urban areas: Definition based on administrative area Population coverage: Excluding both institutional population and armed forces and/or conscripts"
"OE","Employment Indicators","16","Bangladesh","21104","Employment-to-population ratio by age, 25 to 54, rural areas","21","Male","2016","2016","3023","Labour force survey","%","94.71","X","International reliable sources","Criteria used to define rural/urban areas: Definition based on administrative area Population coverage: Excluding both institutional population and armed forces and/or conscripts"
"OE","Employment Indicators","16","Bangladesh","21105","Employment-to-population ratio by age, 55 to 64, rural areas","21","Male","2016","2016","3023","Labour force survey","%","85.79","X","International reliable sources","Criteria used to define rural/urban areas: Definition based on administrative area Population coverage: Excluding both institutional population and armed forces and/or conscripts"
"OE","Employment Indicators","16","Bangladesh","21101","Employment-to-population ratio by age, 65+, rural areas","21","Male","2016","2016","3023","Labour force survey","%","54.34","X","International reliable sources","Criteria used to define rural/urban areas: Definition based on administrative area Population coverage: Excluding both institutional population and armed forces and/or conscripts"
"OE","Employment Indicators","16","Bangladesh","21155","Share of employment in agriculture, forestry and fishing in total employment","21","Male","2017","2017","3023","Labour force survey","%","32.2","X","International reliable sources","Repository: ILO-STATISTICS - Micro data processing"
"OE","Employment Indicators","16","Bangladesh","21126","Share of employment in crop and animal production, hunting and related service activities","21","Male","2017","2017","3023","Labour force survey","%","90.751678","X","International reliable sources","Repository: ILO-STATISTICS - Micro data processing"
"OE","Employment Indicators","16","Bangladesh","21114","Share of employment in forestry and logging","21","Male","2017","2017","3023","Labour force survey","%","0.953988","X","International reliable sources","Repository: ILO-STATISTICS - Micro data processing"
"OE","Employment Indicators","16","Bangladesh","21118","Share of employment in fishing and aquaculture","21","Male","2017","2017","3023","Labour force survey","%","8.294333","X","International reliable sources","Repository: ILO-STATISTICS - Micro data processing"
"OE","Employment Indicators","16","Bangladesh","21152","Share of employees in agriculture, forestry and fishing in total employees","21","Male","2017","2017","3023","Labour force survey","%","22.273458","X","International reliable sources","Repository: ILO-STATISTICS - Micro data processing"
"OE","Employment Indicators","16","Bangladesh","21156","Share of employment in agriculture, forestry and fishing in total employment - ILO Modelled Estimates","21","Male","2017","2017","3043","ILO - ILO Modelled Estimates","%","32.6","X","International reliable sources",""
"OE","Employment Indicators","16","Bangladesh","21069","Employment-to-population ratio by age, total (15+), rural areas","21","Male","2017","2017","3023","Labour force survey","%","77.84","X","International reliable sources","Repository: ILO-STATISTICS - Micro data processing"
"OE","Employment Indicators","16","Bangladesh","21103","Employment-to-population ratio by age, 15 to 24, rural areas","21","Male","2017","2017","3023","Labour force survey","%","49.26","X","International reliable sources","Repository: ILO-STATISTICS - Micro data processing"
"OE","Employment Indicators","16","Bangladesh","21104","Employment-to-population ratio by age, 25 to 54, rural areas","21","Male","2017","2017","3023","Labour force survey","%","94.55","X","International reliable sources","Repository: ILO-STATISTICS - Micro data processing"
"OE","Employment Indicators","16","Bangladesh","21105","Employment-to-population ratio by age, 55 to 64, rural areas","21","Male","2017","2017","3023","Labour force survey","%","86.21","X","International reliable sources","Repository: ILO-STATISTICS - Micro data processing"
"OE","Employment Indicators","16","Bangladesh","21101","Employment-to-population ratio by age, 65+, rural areas","21","Male","2017","2017","3023","Labour force survey","%","48.78","X","International reliable sources","Repository: ILO-STATISTICS - Micro data processing"
"OE","Employment Indicators","16","Bangladesh","21156","Share of employment in agriculture, forestry and fishing in total employment - ILO Modelled Estimates","21","Male","2018","2018","3043","ILO - ILO Modelled Estimates","%","31.3","X","International reliable sources",""
"OE","Employment Indicators","16","Bangladesh","21156","Share of employment in agriculture, forestry and fishing in total employment - ILO Modelled Estimates","21","Male","2019","2019","3043","ILO - ILO Modelled Estimates","%","30.1","X","International reliable sources",""
"OE","Employment Indicators","16","Bangladesh","21150","Mean weekly hours actually worked per employed person in agriculture, forestry and fishing","22","Male","2006","2006","3023","Labour force survey","Number","46.73","X","International reliable sources","Break in series Job coverage: Main job currently held | Break in series: Methodology revised Repository: ILO-STATISTICS - Micro data processing"
"OE","Employment Indicators","16","Bangladesh","21151","Mean weekly hours actually worked per employee in agriculture, forestry and fishing","22","Male","2006","2006","3023","Labour force survey","Number","49.99","X","International reliable sources","Break in series Break in series: Methodology revised Repository: ILO-STATISTICS - Micro data processing"
"OE","Employment Indicators","16","Bangladesh","21150","Mean weekly hours actually worked per employed person in agriculture, forestry and fishing","22","Male","2010","2010","3023","Labour force survey","Number","49","X","International reliable sources","Central tendency measure: Weighted mean Data reference period: May"
"OE","Employment Indicators","16","Bangladesh","21150","Mean weekly hours actually worked per employed person in agriculture, forestry and fishing","22","Male","2013","2013","3023","Labour force survey","Number","42.95","X","International reliable sources","Break in series Job coverage: Main job currently held | Break in series: Methodology revised Repository: ILO-STATISTICS - Micro data processing"
"OE","Employment Indicators","16","Bangladesh","21151","Mean weekly hours actually worked per employee in agriculture, forestry and fishing","22","Male","2013","2013","3023","Labour force survey","Number","45.51","X","International reliable sources","Break in series Break in series: Methodology revised Repository: ILO-STATISTICS - Micro data processing"
"OE","Employment Indicators","16","Bangladesh","21150","Mean weekly hours actually worked per employed person in agriculture, forestry and fishing","22","Male","2016","2016","3023","Labour force survey","Number","47","X","International reliable sources","Central tendency measure: Weighted mean Population coverage: Excluding both institutional population and armed forces and/or conscripts"
"OE","Employment Indicators","16","Bangladesh","21151","Mean weekly hours actually worked per employee in agriculture, forestry and fishing","22","Male","2016","2016","3023","Labour force survey","Number","52","X","International reliable sources","Central tendency measure: Weighted mean Population coverage: Excluding both institutional population and armed forces and/or conscripts"
"OE","Employment Indicators","16","Bangladesh","21150","Mean weekly hours actually worked per employed person in agriculture, forestry and fishing","22","Male","2017","2017","3023","Labour force survey","Number","43.1","X","International reliable sources","Job coverage: Main job currently held Repository: ILO-STATISTICS - Micro data processing"
"OE","Employment Indicators","16","Bangladesh","21151","Mean weekly hours actually worked per employee in agriculture, forestry and fishing","22","Male","2017","2017","3023","Labour force survey","Number","47.54","X","International reliable sources","Repository: ILO-STATISTICS - Micro data processing"
"OE","Employment Indicators","16","Bangladesh","21066","Employment in agriculture, forestry and fishing by age, total (15+)","23","Male","2000","2000","3023","Labour force survey","1000 persons","17256","X","International reliable sources","Data reference period: Noncalendar year"
"OE","Employment Indicators","16","Bangladesh","21144","Employment in agriculture, forestry and fishing - ILO modelled estimates","23","Male","2000","2000","3043","ILO - ILO Modelled Estimates","1000 persons","21122.962","X","International reliable sources","Adjusted"
"OE","Employment Indicators","16","Bangladesh","21144","Employment in agriculture, forestry and fishing - ILO modelled estimates","23","Male","2001","2001","3043","ILO - ILO Modelled Estimates","1000 persons","20549.02","X","International reliable sources",""
"OE","Employment Indicators","16","Bangladesh","21144","Employment in agriculture, forestry and fishing - ILO modelled estimates","23","Male","2002","2002","3043","ILO - ILO Modelled Estimates","1000 persons","19921.517","X","International reliable sources",""
"OE","Employment Indicators","16","Bangladesh","21066","Employment in agriculture, forestry and fishing by age, total (15+)","23","Male","2003","2003","3023","Labour force survey","1000 persons","17159","X","International reliable sources","Data reference period: Noncalendar year"
"OE","Employment Indicators","16","Bangladesh","21144","Employment in agriculture, forestry and fishing - ILO modelled estimates","23","Male","2003","2003","3043","ILO - ILO Modelled Estimates","1000 persons","19179.975","X","International reliable sources",""
"OE","Employment Indicators","16","Bangladesh","21144","Employment in agriculture, forestry and fishing - ILO modelled estimates","23","Male","2004","2004","3043","ILO - ILO Modelled Estimates","1000 persons","18466.571","X","International reliable sources",""
"OE","Employment Indicators","16","Bangladesh","21066","Employment in agriculture, forestry and fishing by age, total (15+)","23","Male","2005","2005","3023","Labour force survey","1000 persons","15084","X","International reliable sources","Data reference period: Noncalendar year"
"OE","Employment Indicators","16","Bangladesh","21144","Employment in agriculture, forestry and fishing - ILO modelled estimates","23","Male","2005","2005","3043","ILO - ILO Modelled Estimates","1000 persons","17589.758","X","International reliable sources",""
"OE","Employment Indicators","16","Bangladesh","21066","Employment in agriculture, forestry and fishing by age, total (15+)","23","Male","2006","2006","3023","Labour force survey","1000 persons","15084.098","X","International reliable sources","Break in series Break in series: Methodology revised Repository: ILO-STATISTICS - Micro data processing"
"OE","Employment Indicators","16","Bangladesh","21088","Employment in agriculture, forestry and fishing by age, 15 to 24","23","Male","2006","2006","3023","Labour force survey","1000 persons","3157.114","X","International reliable sources","Break in series Break in series: Methodology revised Repository: ILO-STATISTICS - Micro data processing"
"OE","Employment Indicators","16","Bangladesh","21089","Employment in agriculture, forestry and fishing by age, 25 to 54","23","Male","2006","2006","3023","Labour force survey","1000 persons","9099.798","X","International reliable sources","Break in series Break in series: Methodology revised Repository: ILO-STATISTICS - Micro data processing"
"OE","Employment Indicators","16","Bangladesh","21090","Employment in agriculture, forestry and fishing by age, 55 to 64","23","Male","2006","2006","3023","Labour force survey","1000 persons","1743.057","X","International reliable sources","Break in series Break in series: Methodology revised Repository: ILO-STATISTICS - Micro data processing"
"OE","Employment Indicators","16","Bangladesh","21086","Employment in agriculture, forestry and fishing by age, 65+","23","Male","2006","2006","3023","Labour force survey","1000 persons","1084.129","X","International reliable sources","Break in series Break in series: Methodology revised Repository: ILO-STATISTICS - Micro data processing"
"OE","Employment Indicators","16","Bangladesh","21091","Employment in agriculture, forestry and fishing by status of employment, total","23","Male","2006","2006","3023","Labour force survey","1000 persons","15084.098","X","International reliable sources","Break in series Break in series: Methodology revised Repository: ILO-STATISTICS - Micro data processing"
"OE","Employment Indicators","16","Bangladesh","21100","Employment in agriculture, forestry and fishing by status of employment, employees","23","Male","2006","2006","3023","Labour force survey","1000 persons","5195.094","X","International reliable sources","Break in series Break in series: Methodology revised Repository: ILO-STATISTICS - Micro data processing"
"OE","Employment Indicators","16","Bangladesh","21107","Employment in agriculture, forestry and fishing by status of employment, self-employed","23","Male","2006","2006","3023","Labour force survey","1000 persons","9853.811","X","International reliable sources","Break in series Break in series: Methodology revised Repository: ILO-STATISTICS - Micro data processing"
"OE","Employment Indicators","16","Bangladesh","21110","Employment in agriculture, forestry and fishing by status of employment, workers not classified","23","Male","2006","2006","3023","Labour force survey","1000 persons","35.193","X","International reliable sources","Break in series Break in series: Methodology revised Repository: ILO-STATISTICS - Micro data processing"
"OE","Employment Indicators","16","Bangladesh","21111","Employment in crop and animal production, hunting and related service activities","23","Male","2006","2006","3023","Labour force survey","1000 persons","14107.945","X","International reliable sources","Break in series Break in series: Methodology revised Repository: ILO-STATISTICS - Micro data processing"
"OE","Employment Indicators","16","Bangladesh","21093","Employment in forestry and logging","23","Male","2006","2006","3023","Labour force survey","1000 persons","59.941","X","International reliable sources","Break in series Break in series: Methodology revised Repository: ILO-STATISTICS - Micro data processing"
"OE","Employment Indicators","16","Bangladesh","21097","Employment in fishing and aquaculture","23","Male","2006","2006","3023","Labour force survey","1000 persons","916.212","X","International reliable sources","Break in series Break in series: Methodology revised Repository: ILO-STATISTICS - Micro data processing"
"OE","Employment Indicators","16","Bangladesh","21144","Employment in agriculture, forestry and fishing - ILO modelled estimates","23","Male","2006","2006","3043","ILO - ILO Modelled Estimates","1000 persons","16660.55","X","International reliable sources","Adjusted"
"OE","Employment Indicators","16","Bangladesh","21087","Employment by age, total (15+), rural areas","23","Male","2006","2006","3023","Labour force survey","1000 persons","27511.213","X","International reliable sources","Break in series Break in series: Methodology revised Repository: ILO-STATISTICS - Micro data processing"
"OE","Employment Indicators","16","Bangladesh","21094","Employment by age, 15 to 24, rural areas","23","Male","2006","2006","3023","Labour force survey","1000 persons","6301.857","X","International reliable sources","Break in series Break in series: Methodology revised Repository: ILO-STATISTICS - Micro data processing"
"OE","Employment Indicators","16","Bangladesh","21095","Employment by age, 25 to 54, rural areas","23","Male","2006","2006","3023","Labour force survey","1000 persons","17427.879","X","International reliable sources","Break in series Break in series: Methodology revised Repository: ILO-STATISTICS - Micro data processing"
"OE","Employment Indicators","16","Bangladesh","21096","Employment by age, 55 to 64, rural areas","23","Male","2006","2006","3023","Labour force survey","1000 persons","2443.067","X","International reliable sources","Break in series Break in series: Methodology revised Repository: ILO-STATISTICS - Micro data processing"
"OE","Employment Indicators","16","Bangladesh","21092","Employment by age, 65+, rural areas","23","Male","2006","2006","3023","Labour force survey","1000 persons","1338.411","X","International reliable sources","Break in series Break in series: Methodology revised Repository: ILO-STATISTICS - Micro data processing"
"OE","Employment Indicators","16","Bangladesh","21098","Employment by status of employment, total, rural areas","23","Male","2006","2006","3023","Labour force survey","1000 persons","27511.213","X","International reliable sources","Break in series Break in series: Methodology revised Repository: ILO-STATISTICS - Micro data processing"
"OE","Employment Indicators","16","Bangladesh","21108","Employment by status of employment, employees, rural areas","23","Male","2006","2006","3023","Labour force survey","1000 persons","10068.381","X","International reliable sources","Break in series Break in series: Methodology revised Repository: ILO-STATISTICS - Micro data processing"
"OE","Employment Indicators","16","Bangladesh","21109","Employment by status of employment, self-employed, rural areas","23","Male","2006","2006","3023","Labour force survey","1000 persons","17276.401","X","International reliable sources","Break in series Break in series: Methodology revised Repository: ILO-STATISTICS - Micro data processing"
"OE","Employment Indicators","16","Bangladesh","21116","Employment by status of employment, workers not classified, rural areas","23","Male","2006","2006","3023","Labour force survey","1000 persons","166.431","X","International reliable sources","Break in series Break in series: Methodology revised Repository: ILO-STATISTICS - Micro data processing"
"OE","Employment Indicators","16","Bangladesh","21072","Labour force participation rate by age, total (15+), rural areas","23","Male","2006","2006","3023","Labour force survey","1000 persons","87.26","X","International reliable sources","Break in series Break in series: Methodology revised Repository: ILO-STATISTICS - Micro data processing"
"OE","Employment Indicators","16","Bangladesh","21122","Labour force participation rate by age, 15 to 24, rural areas","23","Male","2006","2006","3023","Labour force survey","1000 persons","72.38","X","International reliable sources","Break in series Break in series: Methodology revised Repository: ILO-STATISTICS - Micro data processing"
"OE","Employment Indicators","16","Bangladesh","21123","Labour force participation rate by age, 25 to 54, rural areas","23","Male","2006","2006","3023","Labour force survey","1000 persons","97.51","X","International reliable sources","Break in series Break in series: Methodology revised Repository: ILO-STATISTICS - Micro data processing"
"OE","Employment Indicators","16","Bangladesh","21124","Labour force participation rate by age, 55 to 64, rural areas","23","Male","2006","2006","3023","Labour force survey","1000 persons","90.55","X","International reliable sources","Break in series Break in series: Methodology revised Repository: ILO-STATISTICS - Micro data processing"
"OE","Employment Indicators","16","Bangladesh","21117","Labour force participation rate by age, 65+, rural areas","23","Male","2006","2006","3023","Labour force survey","1000 persons","61.42","X","International reliable sources","Break in series Break in series: Methodology revised Repository: ILO-STATISTICS - Micro data processing"
"OE","Employment Indicators","16","Bangladesh","21125","Share of employment by status of employment, total, rural areas","23","Male","2006","2006","3023","Labour force survey","1000 persons","100","X","International reliable sources","Break in series: Methodology revised, Repository: ILO-STATISTICS - Micro data processing"
"OE","Employment Indicators","16","Bangladesh","21133","Share of employment by status of employment, employees, rural areas","23","Male","2006","2006","3023","Labour force survey","1000 persons","36.6","X","International reliable sources","Break in series: Methodology revised, Repository: ILO-STATISTICS - Micro data processing"
"OE","Employment Indicators","16","Bangladesh","21135","Share of employment by status of employment, self-employed, rural areas","23","Male","2006","2006","3023","Labour force survey","1000 persons","62.8","X","International reliable sources","Break in series: Methodology revised, Repository: ILO-STATISTICS - Micro data processing"
