Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QI","Production Indices","16","Bangladesh","434","Gross per capita Production Index Number (2014-2016 = 100)","249","Coconuts","2004","2004","index","41.14","Fc","Calculated data"
"QI","Production Indices","16","Bangladesh","434","Gross per capita Production Index Number (2014-2016 = 100)","249","Coconuts","2005","2005","index","120.31","Fc","Calculated data"
"QI","Production Indices","16","Bangladesh","434","Gross per capita Production Index Number (2014-2016 = 100)","249","Coconuts","2006","2006","index","98.05","Fc","Calculated data"
"QI","Production Indices","16","Bangladesh","434","Gross per capita Production Index Number (2014-2016 = 100)","249","Coconuts","2007","2007","index","104.58","Fc","Calculated data"
"QI","Production Indices","16","Bangladesh","434","Gross per capita Production Index Number (2014-2016 = 100)","249","Coconuts","2008","2008","index","98.17","Fc","Calculated data"
"QI","Production Indices","16","Bangladesh","434","Gross per capita Production Index Number (2014-2016 = 100)","249","Coconuts","2009","2009","index","91.95","Fc","Calculated data"
"QI","Production Indices","16","Bangladesh","434","Gross per capita Production Index Number (2014-2016 = 100)","249","Coconuts","2010","2010","index","115.52","Fc","Calculated data"
"QI","Production Indices","16","Bangladesh","434","Gross per capita Production Index Number (2014-2016 = 100)","249","Coconuts","2011","2011","index","92.61","Fc","Calculated data"
"QI","Production Indices","16","Bangladesh","434","Gross per capita Production Index Number (2014-2016 = 100)","249","Coconuts","2012","2012","index","104.47","Fc","Calculated data"
"QI","Production Indices","16","Bangladesh","434","Gross per capita Production Index Number (2014-2016 = 100)","249","Coconuts","2013","2013","index","101.05","Fc","Calculated data"
"QI","Production Indices","16","Bangladesh","434","Gross per capita Production Index Number (2014-2016 = 100)","249","Coconuts","2014","2014","index","95.36","Fc","Calculated data"
"QI","Production Indices","16","Bangladesh","434","Gross per capita Production Index Number (2014-2016 = 100)","249","Coconuts","2015","2015","index","104.17","Fc","Calculated data"
"QI","Production Indices","16","Bangladesh","434","Gross per capita Production Index Number (2014-2016 = 100)","249","Coconuts","2016","2016","index","100.47","Fc","Calculated data"
"QI","Production Indices","16","Bangladesh","434","Gross per capita Production Index Number (2014-2016 = 100)","249","Coconuts","2017","2017","index","108.52","Fc","Calculated data"
"QI","Production Indices","16","Bangladesh","434","Gross per capita Production Index Number (2014-2016 = 100)","249","Coconuts","2018","2018","index","122.71","Fc","Calculated data"
"QI","Production Indices","16","Bangladesh","434","Gross per capita Production Index Number (2014-2016 = 100)","249","Coconuts","2019","2019","index","112.25","Fc","Calculated data"
"QI","Production Indices","16","Bangladesh","434","Gross per capita Production Index Number (2014-2016 = 100)","242","Groundnuts, with shell","2000","2000","index","67","Fc","Calculated data"
"QI","Production Indices","16","Bangladesh","434","Gross per capita Production Index Number (2014-2016 = 100)","242","Groundnuts, with shell","2001","2001","index","55.48","Fc","Calculated data"
"QI","Production Indices","16","Bangladesh","434","Gross per capita Production Index Number (2014-2016 = 100)","242","Groundnuts, with shell","2002","2002","index","68.6","Fc","Calculated data"
"QI","Production Indices","16","Bangladesh","434","Gross per capita Production Index Number (2014-2016 = 100)","242","Groundnuts, with shell","2003","2003","index","67.9","Fc","Calculated data"
"QI","Production Indices","16","Bangladesh","434","Gross per capita Production Index Number (2014-2016 = 100)","242","Groundnuts, with shell","2004","2004","index","66.49","Fc","Calculated data"
"QI","Production Indices","16","Bangladesh","434","Gross per capita Production Index Number (2014-2016 = 100)","242","Groundnuts, with shell","2005","2005","index","74.75","Fc","Calculated data"
"QI","Production Indices","16","Bangladesh","434","Gross per capita Production Index Number (2014-2016 = 100)","242","Groundnuts, with shell","2006","2006","index","72.04","Fc","Calculated data"
"QI","Production Indices","16","Bangladesh","434","Gross per capita Production Index Number (2014-2016 = 100)","242","Groundnuts, with shell","2007","2007","index","86.02","Fc","Calculated data"
"QI","Production Indices","16","Bangladesh","434","Gross per capita Production Index Number (2014-2016 = 100)","242","Groundnuts, with shell","2008","2008","index","82","Fc","Calculated data"
"QI","Production Indices","16","Bangladesh","434","Gross per capita Production Index Number (2014-2016 = 100)","242","Groundnuts, with shell","2009","2009","index","86.39","Fc","Calculated data"
"QI","Production Indices","16","Bangladesh","434","Gross per capita Production Index Number (2014-2016 = 100)","242","Groundnuts, with shell","2010","2010","index","96.84","Fc","Calculated data"
"QI","Production Indices","16","Bangladesh","434","Gross per capita Production Index Number (2014-2016 = 100)","242","Groundnuts, with shell","2011","2011","index","96.09","Fc","Calculated data"
"QI","Production Indices","16","Bangladesh","434","Gross per capita Production Index Number (2014-2016 = 100)","242","Groundnuts, with shell","2012","2012","index","91.95","Fc","Calculated data"
"QI","Production Indices","16","Bangladesh","434","Gross per capita Production Index Number (2014-2016 = 100)","242","Groundnuts, with shell","2013","2013","index","87.12","Fc","Calculated data"
"QI","Production Indices","16","Bangladesh","434","Gross per capita Production Index Number (2014-2016 = 100)","242","Groundnuts, with shell","2014","2014","index","97.63","Fc","Calculated data"
"QI","Production Indices","16","Bangladesh","434","Gross per capita Production Index Number (2014-2016 = 100)","242","Groundnuts, with shell","2015","2015","index","97.02","Fc","Calculated data"
"QI","Production Indices","16","Bangladesh","434","Gross per capita Production Index Number (2014-2016 = 100)","242","Groundnuts, with shell","2016","2016","index","105.35","Fc","Calculated data"
"QI","Production Indices","16","Bangladesh","434","Gross per capita Production Index Number (2014-2016 = 100)","242","Groundnuts, with shell","2017","2017","index","110.58","Fc","Calculated data"
"QI","Production Indices","16","Bangladesh","434","Gross per capita Production Index Number (2014-2016 = 100)","242","Groundnuts, with shell","2018","2018","index","110.69","Fc","Calculated data"
"QI","Production Indices","16","Bangladesh","434","Gross per capita Production Index Number (2014-2016 = 100)","242","Groundnuts, with shell","2019","2019","index","103.01","Fc","Calculated data"
"QI","Production Indices","16","Bangladesh","434","Gross per capita Production Index Number (2014-2016 = 100)","333","Linseed","2000","2000","index","59.9","Fc","Calculated data"
"QI","Production Indices","16","Bangladesh","434","Gross per capita Production Index Number (2014-2016 = 100)","333","Linseed","2001","2001","index","58.78","Fc","Calculated data"
"QI","Production Indices","16","Bangladesh","434","Gross per capita Production Index Number (2014-2016 = 100)","333","Linseed","2002","2002","index","57.72","Fc","Calculated data"
"QI","Production Indices","16","Bangladesh","434","Gross per capita Production Index Number (2014-2016 = 100)","333","Linseed","2003","2003","index","37.82","Fc","Calculated data"
"QI","Production Indices","16","Bangladesh","434","Gross per capita Production Index Number (2014-2016 = 100)","333","Linseed","2004","2004","index","55.82","Fc","Calculated data"
"QI","Production Indices","16","Bangladesh","434","Gross per capita Production Index Number (2014-2016 = 100)","333","Linseed","2005","2005","index","54.44","Fc","Calculated data"
"QI","Production Indices","16","Bangladesh","434","Gross per capita Production Index Number (2014-2016 = 100)","333","Linseed","2006","2006","index","153.46","Fc","Calculated data"
"QI","Production Indices","16","Bangladesh","434","Gross per capita Production Index Number (2014-2016 = 100)","333","Linseed","2007","2007","index","146.14","Fc","Calculated data"
"QI","Production Indices","16","Bangladesh","434","Gross per capita Production Index Number (2014-2016 = 100)","333","Linseed","2008","2008","index","137.94","Fc","Calculated data"
"QI","Production Indices","16","Bangladesh","434","Gross per capita Production Index Number (2014-2016 = 100)","333","Linseed","2009","2009","index","123.13","Fc","Calculated data"
"QI","Production Indices","16","Bangladesh","434","Gross per capita Production Index Number (2014-2016 = 100)","333","Linseed","2010","2010","index","118.65","Fc","Calculated data"
"QI","Production Indices","16","Bangladesh","434","Gross per capita Production Index Number (2014-2016 = 100)","333","Linseed","2011","2011","index","114.48","Fc","Calculated data"
"QI","Production Indices","16","Bangladesh","434","Gross per capita Production Index Number (2014-2016 = 100)","333","Linseed","2012","2012","index","106.55","Fc","Calculated data"
"QI","Production Indices","16","Bangladesh","434","Gross per capita Production Index Number (2014-2016 = 100)","333","Linseed","2013","2013","index","100.1","Fc","Calculated data"
"QI","Production Indices","16","Bangladesh","434","Gross per capita Production Index Number (2014-2016 = 100)","333","Linseed","2014","2014","index","148.45","Fc","Calculated data"
"QI","Production Indices","16","Bangladesh","434","Gross per capita Production Index Number (2014-2016 = 100)","333","Linseed","2015","2015","index","79.35","Fc","Calculated data"
"QI","Production Indices","16","Bangladesh","434","Gross per capita Production Index Number (2014-2016 = 100)","333","Linseed","2016","2016","index","72.2","Fc","Calculated data"
"QI","Production Indices","16","Bangladesh","434","Gross per capita Production Index Number (2014-2016 = 100)","333","Linseed","2017","2017","index","66.48","Fc","Calculated data"
"QI","Production Indices","16","Bangladesh","434","Gross per capita Production Index Number (2014-2016 = 100)","333","Linseed","2018","2018","index","70.5","Fc","Calculated data"
"QI","Production Indices","16","Bangladesh","434","Gross per capita Production Index Number (2014-2016 = 100)","333","Linseed","2019","2019","index","56.92","Fc","Calculated data"
"QI","Production Indices","16","Bangladesh","434","Gross per capita Production Index Number (2014-2016 = 100)","951","Milk, whole fresh buffalo","2000","2000","index","83.2","Fc","Calculated data"
"QI","Production Indices","16","Bangladesh","434","Gross per capita Production Index Number (2014-2016 = 100)","951","Milk, whole fresh buffalo","2001","2001","index","85.05","Fc","Calculated data"
"QI","Production Indices","16","Bangladesh","434","Gross per capita Production Index Number (2014-2016 = 100)","951","Milk, whole fresh buffalo","2002","2002","index","86.86","Fc","Calculated data"
"QI","Production Indices","16","Bangladesh","434","Gross per capita Production Index Number (2014-2016 = 100)","951","Milk, whole fresh buffalo","2003","2003","index","88.65","Fc","Calculated data"
"QI","Production Indices","16","Bangladesh","434","Gross per capita Production Index Number (2014-2016 = 100)","951","Milk, whole fresh buffalo","2004","2004","index","90.46","Fc","Calculated data"
"QI","Production Indices","16","Bangladesh","434","Gross per capita Production Index Number (2014-2016 = 100)","951","Milk, whole fresh buffalo","2005","2005","index","95.49","Fc","Calculated data"
"QI","Production Indices","16","Bangladesh","434","Gross per capita Production Index Number (2014-2016 = 100)","951","Milk, whole fresh buffalo","2006","2006","index","97.35","Fc","Calculated data"
"QI","Production Indices","16","Bangladesh","434","Gross per capita Production Index Number (2014-2016 = 100)","951","Milk, whole fresh buffalo","2007","2007","index","99.27","Fc","Calculated data"
"QI","Production Indices","16","Bangladesh","434","Gross per capita Production Index Number (2014-2016 = 100)","951","Milk, whole fresh buffalo","2008","2008","index","104.27","Fc","Calculated data"
"QI","Production Indices","16","Bangladesh","434","Gross per capita Production Index Number (2014-2016 = 100)","951","Milk, whole fresh buffalo","2009","2009","index","106.15","Fc","Calculated data"
"QI","Production Indices","16","Bangladesh","434","Gross per capita Production Index Number (2014-2016 = 100)","951","Milk, whole fresh buffalo","2010","2010","index","107.96","Fc","Calculated data"
"QI","Production Indices","16","Bangladesh","434","Gross per capita Production Index Number (2014-2016 = 100)","951","Milk, whole fresh buffalo","2011","2011","index","110.29","Fc","Calculated data"
"QI","Production Indices","16","Bangladesh","434","Gross per capita Production Index Number (2014-2016 = 100)","951","Milk, whole fresh buffalo","2012","2012","index","111.37","Fc","Calculated data"
"QI","Production Indices","16","Bangladesh","434","Gross per capita Production Index Number (2014-2016 = 100)","951","Milk, whole fresh buffalo","2013","2013","index","112.98","Fc","Calculated data"
"QI","Production Indices","16","Bangladesh","434","Gross per capita Production Index Number (2014-2016 = 100)","951","Milk, whole fresh buffalo","2014","2014","index","100.75","Fc","Calculated data"
"QI","Production Indices","16","Bangladesh","434","Gross per capita Production Index Number (2014-2016 = 100)","951","Milk, whole fresh buffalo","2015","2015","index","99.99","Fc","Calculated data"
"QI","Production Indices","16","Bangladesh","434","Gross per capita Production Index Number (2014-2016 = 100)","951","Milk, whole fresh buffalo","2016","2016","index","99.26","Fc","Calculated data"
"QI","Production Indices","16","Bangladesh","434","Gross per capita Production Index Number (2014-2016 = 100)","951","Milk, whole fresh buffalo","2017","2017","index","98.56","Fc","Calculated data"
"QI","Production Indices","16","Bangladesh","434","Gross per capita Production Index Number (2014-2016 = 100)","951","Milk, whole fresh buffalo","2018","2018","index","97.88","Fc","Calculated data"
"QI","Production Indices","16","Bangladesh","434","Gross per capita Production Index Number (2014-2016 = 100)","951","Milk, whole fresh buffalo","2019","2019","index","97.14","Fc","Calculated data"
"QI","Production Indices","16","Bangladesh","434","Gross per capita Production Index Number (2014-2016 = 100)","882","Milk, whole fresh cow","2000","2000","index","114.16","Fc","Calculated data"
"QI","Production Indices","16","Bangladesh","434","Gross per capita Production Index Number (2014-2016 = 100)","882","Milk, whole fresh cow","2001","2001","index","112.89","Fc","Calculated data"
"QI","Production Indices","16","Bangladesh","434","Gross per capita Production Index Number (2014-2016 = 100)","882","Milk, whole fresh cow","2002","2002","index","111.84","Fc","Calculated data"
"QI","Production Indices","16","Bangladesh","434","Gross per capita Production Index Number (2014-2016 = 100)","882","Milk, whole fresh cow","2003","2003","index","110.75","Fc","Calculated data"
"QI","Production Indices","16","Bangladesh","434","Gross per capita Production Index Number (2014-2016 = 100)","882","Milk, whole fresh cow","2004","2004","index","109.39","Fc","Calculated data"
"QI","Production Indices","16","Bangladesh","434","Gross per capita Production Index Number (2014-2016 = 100)","882","Milk, whole fresh cow","2005","2005","index","108.59","Fc","Calculated data"
"QI","Production Indices","16","Bangladesh","434","Gross per capita Production Index Number (2014-2016 = 100)","882","Milk, whole fresh cow","2006","2006","index","107.93","Fc","Calculated data"
"QI","Production Indices","16","Bangladesh","434","Gross per capita Production Index Number (2014-2016 = 100)","882","Milk, whole fresh cow","2007","2007","index","107.4","Fc","Calculated data"
"QI","Production Indices","16","Bangladesh","434","Gross per capita Production Index Number (2014-2016 = 100)","882","Milk, whole fresh cow","2008","2008","index","107.09","Fc","Calculated data"
"QI","Production Indices","16","Bangladesh","434","Gross per capita Production Index Number (2014-2016 = 100)","882","Milk, whole fresh cow","2009","2009","index","106.16","Fc","Calculated data"
"QI","Production Indices","16","Bangladesh","434","Gross per capita Production Index Number (2014-2016 = 100)","882","Milk, whole fresh cow","2010","2010","index","105.3","Fc","Calculated data"
"QI","Production Indices","16","Bangladesh","434","Gross per capita Production Index Number (2014-2016 = 100)","882","Milk, whole fresh cow","2011","2011","index","104.4","Fc","Calculated data"
"QI","Production Indices","16","Bangladesh","434","Gross per capita Production Index Number (2014-2016 = 100)","882","Milk, whole fresh cow","2012","2012","index","103.58","Fc","Calculated data"
"QI","Production Indices","16","Bangladesh","434","Gross per capita Production Index Number (2014-2016 = 100)","882","Milk, whole fresh cow","2013","2013","index","102.75","Fc","Calculated data"
"QI","Production Indices","16","Bangladesh","434","Gross per capita Production Index Number (2014-2016 = 100)","882","Milk, whole fresh cow","2014","2014","index","101.68","Fc","Calculated data"
"QI","Production Indices","16","Bangladesh","434","Gross per capita Production Index Number (2014-2016 = 100)","882","Milk, whole fresh cow","2015","2015","index","100.7","Fc","Calculated data"
"QI","Production Indices","16","Bangladesh","434","Gross per capita Production Index Number (2014-2016 = 100)","882","Milk, whole fresh cow","2016","2016","index","97.62","Fc","Calculated data"
"QI","Production Indices","16","Bangladesh","434","Gross per capita Production Index Number (2014-2016 = 100)","882","Milk, whole fresh cow","2017","2017","index","97.08","Fc","Calculated data"
"QI","Production Indices","16","Bangladesh","434","Gross per capita Production Index Number (2014-2016 = 100)","882","Milk, whole fresh cow","2018","2018","index","96.56","Fc","Calculated data"
"QI","Production Indices","16","Bangladesh","434","Gross per capita Production Index Number (2014-2016 = 100)","882","Milk, whole fresh cow","2019","2019","index","95.91","Fc","Calculated data"
"QI","Production Indices","16","Bangladesh","434","Gross per capita Production Index Number (2014-2016 = 100)","1020","Milk, whole fresh goat","2000","2000","index","60.37","Fc","Calculated data"
"QI","Production Indices","16","Bangladesh","434","Gross per capita Production Index Number (2014-2016 = 100)","1020","Milk, whole fresh goat","2001","2001","index","59.6","Fc","Calculated data"
"QI","Production Indices","16","Bangladesh","434","Gross per capita Production Index Number (2014-2016 = 100)","1020","Milk, whole fresh goat","2002","2002","index","62.78","Fc","Calculated data"
"QI","Production Indices","16","Bangladesh","434","Gross per capita Production Index Number (2014-2016 = 100)","1020","Milk, whole fresh goat","2003","2003","index","66.24","Fc","Calculated data"
"QI","Production Indices","16","Bangladesh","434","Gross per capita Production Index Number (2014-2016 = 100)","1020","Milk, whole fresh goat","2004","2004","index","69.98","Fc","Calculated data"
"QI","Production Indices","16","Bangladesh","434","Gross per capita Production Index Number (2014-2016 = 100)","1020","Milk, whole fresh goat","2005","2005","index","74.02","Fc","Calculated data"
"QI","Production Indices","16","Bangladesh","434","Gross per capita Production Index Number (2014-2016 = 100)","1020","Milk, whole fresh goat","2006","2006","index","78.36","Fc","Calculated data"
"QI","Production Indices","16","Bangladesh","434","Gross per capita Production Index Number (2014-2016 = 100)","1020","Milk, whole fresh goat","2007","2007","index","83","Fc","Calculated data"
"QI","Production Indices","16","Bangladesh","434","Gross per capita Production Index Number (2014-2016 = 100)","1020","Milk, whole fresh goat","2008","2008","index","88.25","Fc","Calculated data"
"QI","Production Indices","16","Bangladesh","434","Gross per capita Production Index Number (2014-2016 = 100)","1020","Milk, whole fresh goat","2009","2009","index","93.71","Fc","Calculated data"
"QI","Production Indices","16","Bangladesh","434","Gross per capita Production Index Number (2014-2016 = 100)","1020","Milk, whole fresh goat","2010","2010","index","99.35","Fc","Calculated data"
"QI","Production Indices","16","Bangladesh","434","Gross per capita Production Index Number (2014-2016 = 100)","1020","Milk, whole fresh goat","2011","2011","index","101.99","Fc","Calculated data"
"QI","Production Indices","16","Bangladesh","434","Gross per capita Production Index Number (2014-2016 = 100)","1020","Milk, whole fresh goat","2012","2012","index","101.44","Fc","Calculated data"
"QI","Production Indices","16","Bangladesh","434","Gross per capita Production Index Number (2014-2016 = 100)","1020","Milk, whole fresh goat","2013","2013","index","100.59","Fc","Calculated data"
"QI","Production Indices","16","Bangladesh","434","Gross per capita Production Index Number (2014-2016 = 100)","1020","Milk, whole fresh goat","2014","2014","index","100.74","Fc","Calculated data"
"QI","Production Indices","16","Bangladesh","434","Gross per capita Production Index Number (2014-2016 = 100)","1020","Milk, whole fresh goat","2015","2015","index","99.99","Fc","Calculated data"
"QI","Production Indices","16","Bangladesh","434","Gross per capita Production Index Number (2014-2016 = 100)","1020","Milk, whole fresh goat","2016","2016","index","99.27","Fc","Calculated data"
"QI","Production Indices","16","Bangladesh","434","Gross per capita Production Index Number (2014-2016 = 100)","1020","Milk, whole fresh goat","2017","2017","index","98.58","Fc","Calculated data"
"QI","Production Indices","16","Bangladesh","434","Gross per capita Production Index Number (2014-2016 = 100)","1020","Milk, whole fresh goat","2018","2018","index","98.27","Fc","Calculated data"
"QI","Production Indices","16","Bangladesh","434","Gross per capita Production Index Number (2014-2016 = 100)","1020","Milk, whole fresh goat","2019","2019","index","99.07","Fc","Calculated data"
"QI","Production Indices","16","Bangladesh","434","Gross per capita Production Index Number (2014-2016 = 100)","982","Milk, whole fresh sheep","2000","2000","index","78.39","Fc","Calculated data"
"QI","Production Indices","16","Bangladesh","434","Gross per capita Production Index Number (2014-2016 = 100)","982","Milk, whole fresh sheep","2001","2001","index","77.48","Fc","Calculated data"
"QI","Production Indices","16","Bangladesh","434","Gross per capita Production Index Number (2014-2016 = 100)","982","Milk, whole fresh sheep","2002","2002","index","78.69","Fc","Calculated data"
"QI","Production Indices","16","Bangladesh","434","Gross per capita Production Index Number (2014-2016 = 100)","982","Milk, whole fresh sheep","2003","2003","index","80.55","Fc","Calculated data"
"QI","Production Indices","16","Bangladesh","434","Gross per capita Production Index Number (2014-2016 = 100)","982","Milk, whole fresh sheep","2004","2004","index","82.38","Fc","Calculated data"
"QI","Production Indices","16","Bangladesh","434","Gross per capita Production Index Number (2014-2016 = 100)","982","Milk, whole fresh sheep","2005","2005","index","84.36","Fc","Calculated data"
"QI","Production Indices","16","Bangladesh","434","Gross per capita Production Index Number (2014-2016 = 100)","982","Milk, whole fresh sheep","2006","2006","index","86.81","Fc","Calculated data"
"QI","Production Indices","16","Bangladesh","434","Gross per capita Production Index Number (2014-2016 = 100)","982","Milk, whole fresh sheep","2007","2007","index","89.24","Fc","Calculated data"
"QI","Production Indices","16","Bangladesh","434","Gross per capita Production Index Number (2014-2016 = 100)","982","Milk, whole fresh sheep","2008","2008","index","91.77","Fc","Calculated data"
"QI","Production Indices","16","Bangladesh","434","Gross per capita Production Index Number (2014-2016 = 100)","982","Milk, whole fresh sheep","2009","2009","index","94.22","Fc","Calculated data"
"QI","Production Indices","16","Bangladesh","434","Gross per capita Production Index Number (2014-2016 = 100)","982","Milk, whole fresh sheep","2010","2010","index","96.97","Fc","Calculated data"
"QI","Production Indices","16","Bangladesh","434","Gross per capita Production Index Number (2014-2016 = 100)","982","Milk, whole fresh sheep","2011","2011","index","97.26","Fc","Calculated data"
"QI","Production Indices","16","Bangladesh","434","Gross per capita Production Index Number (2014-2016 = 100)","982","Milk, whole fresh sheep","2012","2012","index","97.51","Fc","Calculated data"
"QI","Production Indices","16","Bangladesh","434","Gross per capita Production Index Number (2014-2016 = 100)","982","Milk, whole fresh sheep","2013","2013","index","97.07","Fc","Calculated data"
"QI","Production Indices","16","Bangladesh","434","Gross per capita Production Index Number (2014-2016 = 100)","982","Milk, whole fresh sheep","2014","2014","index","99.62","Fc","Calculated data"
"QI","Production Indices","16","Bangladesh","434","Gross per capita Production Index Number (2014-2016 = 100)","982","Milk, whole fresh sheep","2015","2015","index","102.42","Fc","Calculated data"
"QI","Production Indices","16","Bangladesh","434","Gross per capita Production Index Number (2014-2016 = 100)","982","Milk, whole fresh sheep","2016","2016","index","97.96","Fc","Calculated data"
"QI","Production Indices","16","Bangladesh","434","Gross per capita Production Index Number (2014-2016 = 100)","982","Milk, whole fresh sheep","2017","2017","index","97.72","Fc","Calculated data"
"QI","Production Indices","16","Bangladesh","434","Gross per capita Production Index Number (2014-2016 = 100)","982","Milk, whole fresh sheep","2018","2018","index","98.61","Fc","Calculated data"
"QI","Production Indices","16","Bangladesh","434","Gross per capita Production Index Number (2014-2016 = 100)","982","Milk, whole fresh sheep","2019","2019","index","99.41","Fc","Calculated data"
"QI","Production Indices","16","Bangladesh","434","Gross per capita Production Index Number (2014-2016 = 100)","339","Oilseeds nes","2000","2000","index","33.73","Fc","Calculated data"
"QI","Production Indices","16","Bangladesh","434","Gross per capita Production Index Number (2014-2016 = 100)","339","Oilseeds nes","2001","2001","index","59.11","Fc","Calculated data"
"QI","Production Indices","16","Bangladesh","434","Gross per capita Production Index Number (2014-2016 = 100)","339","Oilseeds nes","2002","2002","index","58.04","Fc","Calculated data"
"QI","Production Indices","16","Bangladesh","434","Gross per capita Production Index Number (2014-2016 = 100)","339","Oilseeds nes","2003","2003","index","57.05","Fc","Calculated data"
"QI","Production Indices","16","Bangladesh","434","Gross per capita Production Index Number (2014-2016 = 100)","339","Oilseeds nes","2004","2004","index","56.13","Fc","Calculated data"
"QI","Production Indices","16","Bangladesh","434","Gross per capita Production Index Number (2014-2016 = 100)","339","Oilseeds nes","2005","2005","index","102.87","Fc","Calculated data"
"QI","Production Indices","16","Bangladesh","434","Gross per capita Production Index Number (2014-2016 = 100)","339","Oilseeds nes","2006","2006","index","78.03","Fc","Calculated data"
"QI","Production Indices","16","Bangladesh","434","Gross per capita Production Index Number (2014-2016 = 100)","339","Oilseeds nes","2007","2007","index","53.58","Fc","Calculated data"
"QI","Production Indices","16","Bangladesh","434","Gross per capita Production Index Number (2014-2016 = 100)","339","Oilseeds nes","2008","2008","index","39.86","Fc","Calculated data"
"QI","Production Indices","16","Bangladesh","434","Gross per capita Production Index Number (2014-2016 = 100)","339","Oilseeds nes","2009","2009","index","19.18","Fc","Calculated data"
"QI","Production Indices","16","Bangladesh","434","Gross per capita Production Index Number (2014-2016 = 100)","339","Oilseeds nes","2010","2010","index","21","Fc","Calculated data"
"QI","Production Indices","16","Bangladesh","434","Gross per capita Production Index Number (2014-2016 = 100)","339","Oilseeds nes","2011","2011","index","21.33","Fc","Calculated data"
"QI","Production Indices","16","Bangladesh","434","Gross per capita Production Index Number (2014-2016 = 100)","339","Oilseeds nes","2012","2012","index","18.84","Fc","Calculated data"
